Selection #,Contract,Date,Time,Name,Mcap,Liq,AG,Bundle,FundTime,FundSource,Dev%,DevBal,Links,F,KYC,Unq,SM,HighestMcap,Multiples
1,5k5XR8uNVePpvLWJUS8MWS7gDGJJavJmxGnb3xHppump,2025-02-26,06:40,KWAK,15396,8462,5,0.0575,2h,6aEpPQ,0.0575,30.0,Yes,3,1,3,0,2700000.0,178.5
2,9gk39UpMx8wRdeBAYdfjy5ExFToiwuEMP72evhwfpump,2025-02-26,00:30,SFG,15726,8700,3,0.10339999999999999,25m,BDhyEg,0.10339999999999999,3.5,Yes,6,2,4,0,107100.0,6.8
3,Cf2ARZED9L7eRYS4reJRWVdf7JJqPdoSdDQfpMBEpump,2025-02-26,16:17,MOE,11221,7126,4,0.1,35m,39wS47,0.1,3.3,Yes,2,1,2,1,65600.0,5.9
4,E1NRaCHZbBDUvuvPvG2SdoyVdcWZuVUTbkbVutaMpump,2025-02-26,18:21,CONX,15117,8135,7,0.03,20m,D52TSC,0.03,7.5,Yes,2,1,2,1,66000.0,4.4
5,CeBcvYkJNheHzRjURK21YdBU8ZmZm3abEH4HMgapump,2025-02-26,20:36,BC,13867,7868,6,0.034300000000000004,23m,7Hi8fs,0.034300000000000004,3.7,Yes,6,4,4,0,35500.0,2.6
9,7HGmekaiyGHmAcycy9HrmPoTaXc6azJJTz14xNe3pump,2025-02-25,01:46,UPF,11118,7285,5,0.0462,41m,3PpKrM,0.0462,1.5,Yes,7,4,5,0,188600.0,17.0
13,CSosnoiXgDXoobzKfEfpHeCV6oE8XuvSBXtiDgEpump,2025-02-25,02:42,atis,12268,7697,5,0.0446,21m,8d5zQV,0.0446,4.9,Yes,5,3,3,0,58500.0,4.8
16,5XHePsxdxKcKqJJB64oi5sTrJuA3jtv2663yXuvVpump,2025-02-25,19:25,EWP,12333,7539,4,0.041299999999999996,2m,J4cxkd,0.041299999999999996,0.2,Yes,7,0,3,0,23300.0,1.9
18,8rS4yWZuuYvKmEMK8Bn83rbwvQsHY6YVBsLhq2YTpump,2025-02-25,13:53,McMeme,18961,9249,5,0.0313,2m,Fz3PQR,0.0313,1.1,Yes,5,1,4,0,34600.0,1.8
19,HgYdDTskwGvYUHKwm36Ug6FKWkseuP9g1jnQ5QuHpump,2025-02-25,08:11,🚀,10720,6963,7,0.038,14h,2151gh,0.0,1.0,Yes,5,3,4,0,16500.0,1.5
21,7EXu3mB2sNBM7cJ1ZjBM1mdPiB88xSSmQfa2B3fUpump,2025-02-24,22:02,CTBD,12220,7760,5,0.05,8h,JCBkxk,0.05,5.5,Yes,5,1,5,0,50800.0,4.2
22,RMnikLLUDdugacRjadRTw9BfWuhekVjuwFLE9K8pump,2025-02-24,14:40,$GG,10652,7416,4,0.0452,31m,JCyx8d,0.0452,0.6,Yes,6,0,6,0,26500.0,2.5
